Home Address,City,State,Zip,Volunteered in the past, 2019 Gift , 2018 Gift , 2017 Gift , 2016 Gift , 2015 Gift , 2014 Gift , 2013 Gift , 2012 Gift , 2011 Gift ,CompTotal
1021 Cliffords  Walk,Springfield,Arkansas,11129,FALSE," $34,217.37 "," $76,703.48 "," $98,017.81 ",,," $32,937.00 ",,," $64,833.79 ",30000
9153 Carpenter Vale,Columbus,Montana,15406,FALSE," $8,495.31 "," $89,913.07 "," $1,021.76 ",,," $9,767.33 ",,," $14,729.58 ",NA
7775 Caroline  Alley,Nashville,Hawaii,49017,TRUE," $34,367.79 "," $81,385.00 "," $55,195.83 ",,," $50,349.07 ",,," $95,312.27 ",3500
3067 Baylis  Route,Glendale,Idaho,70685,FALSE," $88,539.38 "," $21,519.64 "," $84,344.43 ",,," $45,669.75 ",,," $67,780.68 ",4900
7349 King William  Pass,Oakland,Ohio,72730,FALSE," $40,624.35 "," $18,868.55 "," $72,845.42 ",,," $31,883.15 ",,," $30,989.66 ",NA
9630 Collingwood  Drive,Bakersfield,North Dakota,26246,FALSE," $15,751.35 "," $97,890.96 "," $9,705.33 ",,," $17,781.12 ",,," $34,737.93 ",NA
9997 Buttonwood Tunnel,Arlington,Florida,91921,TRUE," $13,011.78 "," $79,384.21 "," $4,429.81 ",,," $43,224.04 ",,," $64,819.59 ",60000.114
3703 Abourne   Road,Milwaukee,Utah,36065,TRUE," $88,535.39 "," $43,116.69 "," $65,687.87 ",,," $29,804.93 ",,," $93,043.19 ",NA
4595 Coal Wharf  Vale,Columbus,Arizona,78768,TRUE," $17,252.69 "," $36,637.72 "," $81,463.48 ",,," $41,880.57 ",,," $17,885.36 ",90000
7832 Queen Caroline   Tunnel,Otawa,California,72909,FALSE," $86,596.07 "," $13,131.97 "," $79,035.29 ",,," $97,064.05 ",,," $6,090.06 ",NA
9727 Fairbairn  Alley,Jacksonville,Georgia,43457,FALSE," $35,831.08 "," $10,171.39 "," $18,149.92 ",,," $17,954.61 ",,," $33,518.18 ",NA
8176 Erindale Boulevard,Venice,Michigan,56482,FALSE," $20,063.03 "," $60,270.47 "," $90,900.61 ",,," $16,323.89 ",,," $78,790.25 ",106000
3211 Queen Crossroad,Oakland,Wisconsin,44712,FALSE," $4,243.35 "," $11,809.88 "," $8,957.62 ",,," $2,161.74 ",,," $50,954.38 ",130000
4517 Linden Crossroad,Detroit,California,47810,FALSE," $76,149.71 "," $93,524.06 "," $45,286.28 ",,," $26,826.68 ",,," $90,356.81 ",135000
1644 Queensberry  Pass,Rome,Massachussets,75362,FALSE," $87,010.33 "," $14,292.26 "," $2,490.69 ",,," $37,920.75 ",,," $9,034.20 ",244000.6
952 Unwin  Rue,Boston,Oklahoma,32551,TRUE," $98,740.97 "," $62,408.04 "," $53,694.29 ",,," $81,112.32 ",,," $21,480.83 ",34000
4011 Dunstans  Rue,Madison,Kentucky,82021,FALSE," $57,454.59 "," $54,360.46 "," $82,992.11 ",,," $98,138.75 ",,," $68,467.28 ",35000
9330 Clerkenwell Rue,Los Angeles,Virginia,96927,FALSE," $73,983.93 "," $4,577.77 "," $40,504.83 ",,," $86,983.74 ",,," $84,309.28 ",58000
8823 Bective  Lane,Chicago,Ohio,92095,FALSE," $12,932.74 ", $130.38 ," $40,911.19 ",,," $57,282.30 ",,," $27,759.67 ",125000
311 Longleigh   Avenue,Valetta,Illinois,14134,TRUE," $98,235.32 "," $63,921.66 "," $26,744.75 ",,," $27,731.24 ",,," $36,830.25 ",52000
9070 Magnolia Pass,Rome,Utah,71440,TRUE," $58,434.52 "," $21,599.36 "," $22,044.05 ",,," $78,448.15 ",,," $5,111.22 ",NA
8903 Sherlock   Vale,Lyon,Maine,70310,FALSE," $83,685.17 "," $25,935.87 "," $50,229.32 ",,," $94,174.16 ",,," $25,801.06 ",137000
3958 Fairbairn  Rue,Lincoln,Vermont,76949,TRUE," $55,801.98 "," $63,587.85 "," $9,573.05 ",,," $90,290.02 ",,," $62,661.75 ",70000
9220 Lexington Drive,Tokyo,West Virginia,32634,FALSE," $94,234.23 "," $61,595.18 "," $91,261.84 ",,," $19,058.65 ",,," $93,243.68 ",NA
7628 Chantry   Way,Norfolk,New Mexico,54542,TRUE," $66,730.50 "," $96,436.15 "," $29,765.98 ",,," $43,516.18 ",,," $97,290.59 ",160000
3003 Ensign   Route,Salt Lake City,Tennessee,56673,FALSE," $1,728.16 "," $35,505.91 "," $5,434.10 ",,," $83,572.51 ",,," $75,857.75 ",NA
1876 Berriman  Hill,Pittsburgh,South Dakota,45189,TRUE, $745.98 ," $11,292.15 "," $62,544.28 ",,," $77,658.13 ",,," $65,614.50 ",NA
9162 Victoria  Grove,Memphis,Ohio,42265,TRUE," $38,579.04 "," $81,871.47 "," $4,516.18 ",,," $24,376.78 ",,," $89,307.85 ",135000
8805 Westcott  Vale,Lisbon,Virginia,96178,FALSE," $29,090.67 "," $64,428.77 "," $56,719.53 ",,," $64,245.62 ",,," $34,287.29 ",NA
5688 Fieldstone Route,Irving,North Dakota,54885,FALSE," $34,677.79 "," $17,151.87 "," $86,720.59 ",,," $39,546.16 ",,," $9,781.96 ",6000
3255 Angrave    Crossroad,Memphis,Florida,17056,FALSE," $71,544.22 "," $64,441.13 "," $43,568.22 ",,," $6,221.94 ",,," $69,467.78 ",NA
7604 Andrews  Pass,Boston,Wisconsin,98644,FALSE," $27,835.27 "," $13,654.10 "," $5,681.61 ",,," $48,105.18 ",,," $85,831.57 ",NA
6732 Coalecroft  Road,Oakland,New Mexico,89019,FALSE," $7,819.45 "," $18,584.54 "," $13,395.48 ",,," $27,448.29 ",,," $12,471.17 ",NA
3013 Ampton  Rue,Milwaukee,Oklahoma,84112,TRUE," $8,578.20 "," $28,572.28 "," $86,301.60 ",,," $26,967.01 ",,," $55,321.65 ",NA
6015 Union  Street,Reno,Arizona,59380,FALSE," $65,479.51 "," $13,043.04 "," $1,019.22 ",,," $46,898.88 ",,," $61,651.94 ",73000
2231 Elgood   Grove,Zurich,New Mexico,24945,FALSE," $25,383.20 "," $79,600.81 "," $26,486.95 ",,," $24,115.71 ",,," $30,842.35 ",98000
3008 Linden Street,Scottsdale,Alaska,71182,FALSE," $57,497.74 "," $83,267.13 "," $10,091.97 ",,," $95,136.49 ",,," $78,756.07 ",NA
2012 Rosewood Street,Innsbruck,Oregon,62410,FALSE," $40,765.76 "," $84,148.38 "," $11,107.73 ",,," $17,014.54 ",,," $67,440.72 ",250000
7651 Chelsea Manor  Crossroad,Bucharest,Iowa,74470,TRUE," $70,872.20 "," $14,526.33 "," $46,062.79 ",,," $68,600.13 ",,," $90,651.57 ",NA
5473 Lincoln Street,Richmond,Wyoming,97339,FALSE," $29,571.87 "," $37,989.38 "," $27,997.06 ",,," $1,120.94 ",,," $64,484.51 ",550000
9826 Dutton   Lane,Stockton,Massachussets,52339,FALSE," $42,442.69 "," $39,656.30 "," $72,028.25 ",,," $31,564.53 ",,," $50,409.99 ",18500
125 King Edward  Route,New York,Minnesota,39408,FALSE," $23,415.79 "," $98,502.52 "," $94,312.56 ",,," $53,467.09 ",,," $63,354.02 ",NA
5711 Marina  Avenue,Jersey City,North Dakota,15126,FALSE," $68,525.79 "," $51,947.70 "," $37,801.78 ",,," $38,489.36 ",,," $62,739.29 ",NA
9545 Becklow  Walk,Jacksonville,Kentucky,15914,FALSE," $35,586.43 "," $65,393.07 "," $19,295.89 ",,," $3,902.19 ",,," $13,932.69 ",NA
4346 Chatfield  Alley,San Francisco,North Carolina,11431,TRUE," $51,316.47 "," $2,110.62 "," $11,200.60 ",,," $51,252.00 ",,," $51,577.89 ",8000
1501 Dutton   Tunnel,Phoenix,Nevada,88566,FALSE," $80,572.28 "," $70,082.13 "," $20,556.92 ",,," $45,684.16 ",,," $84,960.69 ",NA
2843 Jackson Tunnel,Salt Lake City,Indiana,59175,TRUE," $4,274.36 "," $58,224.18 "," $55,648.34 ",,," $14,643.87 ",,," $21,049.24 ",NA
9243 Arctic   Hill,Colorado Springs,Mississippi,51096,FALSE," $87,619.72 "," $12,644.81 "," $2,823.24 ",,," $46,088.98 ",,," $56,664.24 ",NA
3528 Sheffield Alley,Salem,Illinois,77416,TRUE," $26,395.56 "," $91,366.56 "," $33,227.05 ",,," $50,739.80 ",,," $58,207.55 ",NA
2265 Jackson Street,Milwaukee,Texas,78646,FALSE," $24,120.02 "," $76,866.97 "," $51,995.09 ",,," $1,120.83 ",,," $41,973.59 ",50000
6278 Canon Avenue,Murfreesboro,New York,95386,TRUE," $33,511.14 "," $4,619.99 "," $59,586.99 ",,," $63,160.73 ",,," $65,034.70 ",94500
823 Fairview Boulevard,Tokyo,North Dakota,29204,TRUE," $12,247.02 "," $5,821.58 "," $80,283.29 ",,," $45,066.34 ",,," $91,028.53 ",NA
5909 King Edward  Road,Quebec,Michigan,79478,TRUE," $93,738.73 "," $26,003.46 "," $81,637.96 ",,," $23,946.28 ",,," $9,265.83 ",117000
6886 Norland  Hill,Amarillo,Kansas,61588,FALSE," $1,169.99 "," $77,727.24 "," $20,413.65 ",,," $32,793.77 ",,," $92,193.86 ",1000
9401 Linden Vale,Oklahoma City,Tennessee,55514,FALSE," $8,455.03 "," $51,864.54 "," $69,735.68 ",,," $72,532.43 ",,," $11,016.49 ",NA
5328 Magnolia Crossroad,San Antonio,Illinois,38194,TRUE," $61,360.13 "," $32,195.06 "," $64,133.86 ",,," $87,098.86 ",,," $18,880.49 ",NA
9765 Railroad Pass,Kansas City,North Dakota,40140,TRUE," $75,624.98 "," $30,436.35 "," $36,545.92 ",,," $78,502.00 ",,," $61,183.90 ",2000
5340 Clavell   Route,Tulsa,Georgia,92739,TRUE," $22,483.15 "," $32,619.49 "," $86,418.22 ",,," $42,153.71 ",,," $63,519.21 ",NA
6963 Lake Grove,Bakersfield,Kentucky,67444,FALSE," $7,280.62 "," $36,863.58 "," $20,136.31 ",,," $16,909.69 ",,," $32,556.46 ",NA
8856 Victoria  Alley,Bakersfield,Texas,71570,TRUE," $70,833.00 "," $46,538.65 "," $98,735.62 ",,," $39,839.74 ",,," $59,829.27 ",130000
5499 Arbutus   Rue,Worcester,New Jersey,65789,FALSE," $31,390.00 "," $73,823.07 "," $80,865.18 ",,," $37,895.64 ",,," $5,605.72 ",70000000
5315 Balfe   Rue,Honolulu,Tennessee,33027,FALSE," $84,243.21 "," $14,918.36 "," $96,260.24 ",,," $36,295.00 ",,," $63,062.80 ",53000
3320 Heritage Walk,Madrid,Texas,64521,TRUE," $51,914.82 "," $7,837.63 "," $90,148.69 ",,," $99,601.69 ",,," $43,325.49 ",20000
4275 Sheffield Drive,Arlington,Hawaii,52978,TRUE," $17,500.41 "," $60,893.59 "," $28,528.81 ",,," $89,545.95 ",,," $92,433.48 ",50000
662 Blackall   Crossroad,London,Hawaii,11787,FALSE," $14,026.55 "," $32,725.63 "," $49,953.25 ",,," $64,624.49 ",,," $78,851.99 ",95000
5157 Clere  Tunnel,Fayetteville,South Carolina,60863,FALSE," $74,969.78 "," $19,184.10 "," $86,162.93 ",,," $93,472.26 ",,," $31,077.12 ",10000
6215 Boadicea   Way,Innsbruck,Virginia,48149,TRUE," $5,813.97 "," $94,454.31 "," $14,573.77 ",,," $65,408.81 ",,," $47,913.18 ",100000
5617 Yoakley Crossroad,Salem,Nevada,71750,FALSE," $73,792.77 "," $95,041.95 "," $43,298.56 ",,," $33,732.04 ",,," $80,164.90 ",80000
9313 Cleaver Vale,Bakersfield,South Carolina,22090,FALSE," $29,180.99 "," $44,186.34 "," $97,265.82 ",,," $47,840.61 ",,," $59,784.43 ",105000
9398 South Road,Stockton,Idaho,76581,TRUE," $93,777.37 "," $5,002.69 "," $70,135.64 ",,," $58,406.26 ",,," $83,035.71 ",93000
3262 Ampton  Tunnel,Prague,Massachussets,80718,FALSE," $66,615.29 "," $48,685.65 "," $34,272.00 ",,," $13,186.09 ",,," $82,536.58 ",NA
4333 Calderwood   Road,Quebec,Oregon,40550,FALSE," $53,990.24 "," $86,965.77 "," $70,447.66 ",,," $24,060.92 ",,," $74,300.83 ",NA
7507 Zealand Drive,Glendale,Missouri,95605,FALSE," $42,765.20 "," $39,321.96 "," $22,178.89 ",,," $40,438.70 ",,," $90,770.41 ",NA
5994 Virginia Crossroad,Prague,New Jersey,13067,TRUE," $68,984.46 "," $8,864.39 "," $58,222.32 ",,," $89,115.65 ",,," $5,968.51 ",NA
6535 Ernest  Route,Madison,Arizona,67467,TRUE," $98,866.09 "," $72,309.60 "," $32,702.91 ",,," $44,906.60 ",,," $8,887.11 ",40000
1418 Erindale Crossroad,Quebec,Arkansas,62336,FALSE," $46,309.29 "," $33,290.02 "," $26,178.66 ",,," $89,067.14 ",,," $91,071.32 ",3550
307 Aberavon  Street,Philadelphia,Alaska,45028,TRUE," $20,007.68 "," $61,636.76 "," $56,522.68 ",,," $58,075.94 ",,," $90,939.79 ",148000
281 Battersea   Rue,Tokyo,New Jersey,69063,FALSE," $85,924.72 "," $15,150.03 "," $43,456.83 ",,," $42,010.83 ",,," $63,406.05 ",NA
7333 Berriman  Walk,Springfield,Ohio,53357,TRUE," $25,188.95 "," $70,335.45 "," $60,742.17 ",,, $263.38 ,,," $69,040.04 ",NA
6598 Queen Boulevard,Scottsdale,Arizona,33176,FALSE," $58,706.16 "," $80,852.43 "," $74,707.48 ",,," $35,784.79 ",,," $66,422.81 ",130000
3987 Babmaes    Avenue,San Diego,Illinois,82132,TRUE," $67,217.72 "," $82,797.23 "," $51,128.07 ",,," $34,629.09 ",,," $27,489.02 ",NA
8177 Baynes  Pass,Louisville,Hawaii,73756,FALSE," $28,278.31 "," $94,472.01 "," $48,111.73 ",,," $27,598.07 ",,," $67,269.92 ",65000
7634 Queensberry  Route,San Bernardino,New Jersey,28260,FALSE," $54,170.31 "," $24,140.73 "," $84,131.54 ",,," $28,936.66 ",,," $24,027.10 ",NA
1838 Jackson Rue,Norfolk,Kentucky,70637,FALSE," $39,742.17 "," $85,850.89 "," $28,758.22 ",,," $91,966.69 ",,," $28,792.88 ",NA
6435 Carpenter Road,Sacramento,Michigan,65323,TRUE," $78,173.63 "," $34,564.73 "," $79,956.79 ",,," $67,211.00 ",,," $26,932.83 ",78800
8887 Coalecroft  Route,Prague,Michigan,81398,FALSE," $12,934.77 "," $86,442.88 "," $19,129.86 ",,," $41,598.19 ",,," $21,327.48 ",NA
4834 Udall   Route,Rome,Hawaii,37105,FALSE," $37,519.39 "," $21,731.19 "," $91,608.76 ",,," $40,552.33 ",,," $39,088.27 ",90000
6520 Vincent  Street,Miami,Rhode Island,33267,FALSE," $43,002.31 "," $81,902.05 "," $8,359.11 ",,," $60,503.76 ",,," $93,312.16 ",NA
4385 Bliss  Avenue,Venice,Tennessee,97319,FALSE," $64,484.78 "," $39,335.36 "," $5,249.22 ",,," $71,927.37 ",,," $33,986.02 ",145000
5028 Capeners  Boulevard,St. Louis,South Dakota,86918,FALSE," $5,807.64 "," $57,589.63 "," $45,628.79 ",,," $11,839.09 ",,," $62,917.19 ",57000
9992 King William  Vale,London,Montana,18116,FALSE," $34,617.12 "," $67,529.61 "," $15,212.44 ",,," $67,027.76 ",,," $98,904.90 ",145000
1440 Fawn Street,Amarillo,Illinois,98272,FALSE," $76,398.27 "," $54,389.28 "," $27,016.65 ",,," $85,534.68 ",,," $33,895.66 ",85000
3954 Marina  Tunnel,Worcester,Ohio,17596,FALSE," $17,945.69 "," $22,644.41 "," $56,969.38 ",,," $31,758.54 ",,," $92,741.16 ",120000
7139 Arthur  Crossroad,San Antonio,South Dakota,66095,FALSE," $48,671.38 "," $73,069.77 "," $13,182.22 ",,," $75,856.42 ",,," $56,080.81 ",0
696 Magnolia Street,London,Nevada,49052,FALSE, $485.23 ," $49,007.73 "," $2,242.23 ",,," $81,213.64 ",,," $27,227.90 ",200000
2977 Church Walk,Venice,Utah,36183,TRUE," $96,313.88 "," $74,812.65 "," $29,247.06 ",,," $36,216.76 ",,," $15,864.31 ",145000
5644 Besson  Grove,Tallahassee,Maryland,26308,FALSE," $53,189.74 "," $38,236.80 "," $46,249.33 ",,," $25,784.40 ",,," $43,579.63 ",NA
1250 Coley  Route,Cincinnati,New York,28680,TRUE," $33,192.43 "," $60,264.57 "," $78,191.03 ",,," $51,626.77 ",,," $53,641.56 ",80000
3431 Adderley   Way,Indianapolis,Wyoming,41344,TRUE," $77,510.46 "," $75,508.65 "," $79,965.79 ",,," $66,102.35 ",,," $82,360.74 ",115000
6569 Rivervalley Alley,Fullerton,Iowa,90835,TRUE," $6,257.56 "," $62,857.08 "," $89,054.57 ",,," $10,510.41 ",,," $54,142.25 ",NA
30 Bellenden   Lane,Rome,Rhode Island,63863,TRUE," $11,208.13 "," $67,808.52 "," $83,709.59 ",,," $40,809.19 ",,," $5,450.36 ",115000
2246 Sherwood  Pass,Salt Lake City,Missouri,36842,FALSE," $19,053.82 "," $42,204.48 "," $56,038.89 "," $39,858.77 "," $78,055.71 "," $29,970.28 ",,," $82,622.41 ",1200
3821 Chester  Road,Nashville,Louisiana,85418,FALSE," $14,594.15 "," $94,731.12 "," $30,076.03 "," $28,561.97 "," $78,207.50 "," $34,764.01 ",,," $91,271.41 ",45000
810 Boleyn  Drive,Escondido,Nevada,24378,FALSE," $65,533.86 "," $19,076.54 "," $62,068.24 "," $16,567.10 "," $1,604.06 "," $95,667.59 ",,," $72,768.75 ",3250
9586 Tisbury  Lane,Bellevue,New York,95481,TRUE," $4,704.34 "," $12,261.23 "," $21,365.43 "," $42,496.25 "," $84,940.63 "," $19,666.38 ",,," $15,648.84 ",NA
6571 Bigland  Grove,Fort Lauderdale,Hawaii,32979,FALSE," $16,127.37 "," $52,032.71 "," $9,455.91 "," $82,287.85 "," $49,332.05 "," $5,425.02 ",,," $41,115.39 ",NA
4818 Hammersmith  Crossroad,Lancaster,Vermont,34023,FALSE," $64,301.94 "," $6,994.45 "," $2,665.50 "," $76,324.66 "," $11,321.13 "," $61,958.18 ",,," $90,252.09 ",120000
5602 Woodland Way,San Diego,Alabama,79976,TRUE," $20,077.25 "," $25,520.68 "," $74,136.84 "," $66,431.50 "," $98,470.47 "," $69,597.78 ",,," $56,410.98 ",215000
2459 Emily  Walk,San Francisco,California,51706,FALSE," $88,229.66 "," $53,782.28 "," $64,353.36 "," $30,424.03 "," $73,094.81 "," $36,233.92 ",,," $55,182.28 ",45000
5593 Enford   Avenue,Venice,Nebraska,52788,FALSE," $71,533.51 "," $30,536.77 "," $49,778.36 "," $70,510.74 "," $26,110.50 "," $97,337.58 ",,, $756.53 ,NA
3763 Chatsworth  Route,Worcester,New Mexico,74690,FALSE," $96,829.84 "," $24,164.52 "," $98,580.84 "," $44,185.28 "," $62,892.08 "," $4,271.37 ",,," $59,727.77 ",NA
5827 English   Rue,Scottsdale,Connecticut,42037,TRUE," $15,636.56 "," $58,952.41 "," $61,760.41 "," $74,137.10 "," $12,839.97 "," $76,738.47 ",,," $79,900.31 ",53000
553 Hammersmith  Route,Irving,Wisconsin,77689,TRUE," $87,588.00 "," $46,207.72 "," $38,151.43 "," $2,549.55 "," $12,549.30 "," $73,154.95 ",,," $6,440.13 ",97500
9701 Timber   Rue,Orlando,Michigan,89107,FALSE," $92,885.16 "," $99,161.52 "," $23,240.18 "," $66,725.98 "," $42,104.02 "," $17,859.34 ",,," $48,753.13 ",75000
2701 Cadogan  Crossroad,Bucharest,Virginia,74806,TRUE," $86,526.42 "," $89,801.47 "," $54,825.04 "," $29,739.48 "," $33,490.52 "," $25,005.80 ",,," $5,167.04 ",25000
502 Abbotswell  Alley,Washington,New Hampshire,87081,TRUE," $77,845.07 "," $93,461.59 "," $81,092.40 "," $57,573.66 "," $76,867.96 "," $93,539.10 ",,," $42,949.02 ",580000
5330 Beaconsfield  Rue,Baltimore,North Dakota,58755,FALSE," $2,301.05 "," $20,023.04 "," $6,254.27 "," $25,207.23 "," $78,036.55 "," $79,357.43 ",,," $28,648.12 ",50000
8023 Bendall   Avenue,El Paso,New York,33804,TRUE," $18,561.08 "," $55,455.64 "," $57,342.51 "," $74,395.52 "," $25,115.14 "," $85,157.93 ",,," $63,163.78 ",4200
3954 Bendmore  Tunnel,Murfreesboro,North Dakota,18288,FALSE," $30,544.70 "," $72,244.04 "," $69,675.62 "," $81,138.81 "," $50,133.03 "," $59,219.80 ",,," $63,674.40 ",21000000
2327 Canal  Avenue,Reno,Massachussets,97329,FALSE," $2,532.48 "," $46,964.17 "," $89,103.09 "," $81,519.19 "," $97,716.67 "," $69,301.92 ",,," $55,364.98 ",300000
5586 Kingly  Vale,Sacramento,Hawaii,46668,FALSE," $89,625.51 "," $89,337.40 "," $53,433.21 "," $23,308.98 "," $14,352.43 "," $17,586.11 ",,," $82,872.40 ",20000
112 Elia   Lane,Irving,Tennessee,78922,FALSE," $44,069.71 "," $70,864.50 "," $72,095.66 "," $15,289.47 "," $98,840.05 "," $92,716.63 ",,," $64,119.86 ",10000
17 Bond Vale,Stockton,Connecticut,93794,TRUE," $97,212.52 "," $56,756.33 "," $4,894.57 "," $96,422.50 "," $2,506.69 "," $26,768.41 ",,," $55,103.95 ",90000
9173 Ashley Boulevard,Saint Paul,Louisiana,74868,FALSE," $82,824.45 "," $30,127.44 "," $22,512.03 "," $60,071.50 "," $5,668.64 "," $66,551.70 ",,," $27,477.58 ",150000
5858 Emily  Walk,Valetta,Rhode Island,27277,TRUE," $68,088.66 "," $38,068.49 "," $71,900.09 "," $14,015.36 "," $73,860.01 "," $90,613.99 ",,," $94,349.67 ",80000
9716 Ensign   Road,Washington,Idaho,97154,TRUE," $9,698.95 "," $46,202.38 "," $9,917.90 "," $74,858.18 "," $62,991.16 "," $94,165.52 ",,," $8,013.36 ",
5049 West Way,Bakersfield,Washington,31076,TRUE," $47,450.89 "," $79,903.83 "," $66,081.87 "," $37,453.12 "," $93,186.66 "," $23,678.06 ",,," $98,993.70 ",
5991 Lexington Tunnel,Albuquerque,Alaska,80857,TRUE," $51,639.85 "," $49,707.79 "," $89,220.03 "," $21,539.32 ", $422.76 ," $57,557.03 ",,," $67,161.78 ",
5959 Viscount   Vale,Jacksonville,Massachussets,92004,FALSE," $95,121.46 "," $61,178.85 "," $51,569.08 "," $37,459.35 "," $22,593.21 "," $45,847.60 ",,," $30,220.96 ",
7775 Coley  Vale,Lakewood,Rhode Island,59251,FALSE," $1,587.20 "," $45,767.25 "," $18,000.64 "," $31,722.05 "," $63,584.18 "," $45,832.65 ",,," $22,380.26 ",
8376 Camdale  Lane,Kansas City,Michigan,36457,TRUE," $8,246.32 "," $88,737.96 "," $89,040.76 "," $67,432.97 "," $36,542.90 "," $34,484.81 ",,," $54,371.97 ",
8383 Littlebury  Hill,Amarillo,Arizona,61139,FALSE," $6,977.57 "," $16,508.79 "," $92,098.76 "," $88,265.60 "," $31,372.59 "," $35,921.48 ",,," $52,545.28 ",
539 Rail Drive,Bridgeport,Nevada,17350,FALSE," $66,940.95 "," $95,690.39 "," $26,941.77 "," $37,436.89 "," $45,237.54 "," $83,199.38 ",,," $26,173.05 ",
1240 Parkfields Hill,Irving,Indiana,31788,FALSE," $55,284.62 "," $6,641.55 "," $93,404.38 "," $70,521.74 "," $18,144.59 "," $6,191.92 ",,," $15,278.05 ",
1257 Bede  Drive,Prague,Idaho,73530,TRUE," $29,076.10 "," $30,891.05 "," $48,602.57 "," $4,055.89 "," $34,365.52 "," $79,757.95 ",,," $49,531.63 ",
9944 Elia   Hill,San Antonio,Vermont,34097,TRUE," $65,446.08 "," $10,303.72 "," $36,134.83 "," $63,925.04 "," $80,078.89 "," $7,398.65 ",,," $67,129.89 ",
4626 Blenkarne  Lane,Hollywood,Florida,36615,FALSE," $83,348.05 "," $91,090.30 "," $65,037.34 "," $72,139.47 "," $66,865.00 "," $74,723.86 ",,," $87,306.32 ",
